from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
U1011Z4,U1011Z4,2,240,,
U1011Z4,U1146Z1,2,1200,,
U1011Z4,U1146Z2,2,1200,,
U1011Z4,U1146Z3,2,1200,,
U1011Z4,U1146Z4,2,1200,,
U1011Z4,U1146Z5,2,1200,,
U1011Z4,U1146Z6,2,1200,,
U1011Z4,U1146Z7,2,1200,,
U1011Z4,U1146Z8,2,1200,,
U1011Z4,U1146Z9,2,1200,,
U1011Z4,U1146Z10,2,1200,,
U1011Z4,U1146Z11,2,1200,,
U1011Z4,U1146Z21,2,1200,,
U1011Z4,U1146Z22,2,1200,,
U1011Z4,U1146Z23,2,1200,,
U1011Z4,U1146Z24,2,1200,,
U1011Z4,U1146Z25,2,1200,,
U1011Z4,U1146Z26,2,1200,,
U1011Z4,U1146Z31,2,1200,,
U1011Z4,U1146Z98,2,1200,,
U1011Z4,U1146Z99,2,1200,,
U1011Z4,U1696Z1,2,240,,
U1011Z4,U1696Z2,2,240,,
U1011Z4,U1696Z3,2,240,,
U1011Z4,U1696Z4,2,240,,
U1011Z4,U1696Z5,2,240,,
U1011Z4,U1696Z6,2,240,,
U1011Z4,U1696Z7,2,240,,
U1011Z4,U1696Z8,2,240,,
U1011Z4,U1696Z9,2,240,,
U1011Z4,U1696Z10,2,240,,
U1011Z4,U1696Z11,2,240,,
U1011Z4,U1696Z12,2,240,,
U1011Z4,U1696Z13,2,240,,
U1011Z4,U1696Z14,2,240,,
U1011Z4,U1696Z15,2,240,,
U1011Z4,U1696Z21,2,240,,
U1011Z4,U1798Z1,2,420,,
U1011Z4,U1798Z2,2,420,,
U1011Z4,U1798Z5,2,420,,
U1011Z4,U7530Z1,2,300,,
U1011Z4,U7530Z2,2,300,,
U1011Z4,U7530Z21,2,300,,
U1011Z4,U7530Z22,2,300,,
U1018Z1,U1018Z4,2,60,,
U1018Z2,U1018Z4,2,60,,
U1018Z4,U1018Z1,2,60,,
U1018Z4,U1018Z2,2,60,,
U1021Z1,U1021Z3,2,120,,
U1021Z1,U1021Z4,2,120,,
U1021Z2,U1021Z3,2,120,,
U1021Z2,U1021Z4,2,120,,
U1021Z3,U1021Z1,2,120,,
U1021Z3,U1021Z2,2,120,,
U1021Z4,U1021Z1,2,120,,
U1021Z4,U1021Z2,2,120,,
U1053Z1,U1761Z1,2,240,,
U1053Z1,U1761Z2,2,240,,
U1053Z2,U1761Z1,2,240,,
U1053Z2,U1761Z2,2,240,,
U1058Z1,U1353Z1,2,240,,
U1058Z1,U1353Z2,2,240,,
